Name, Catalog, GLong, GLat, Size, HII_Name, Group, GLong_Observed, GLat_Observed, VLSR, e_VLSR, FWHM, e_FWHM, Wavelength, Lines, Resolutiom, Telescope, Author, Molecular_Name, Molecular_GLong, Molecular_GLat, Molecular_VLSR, Molecule, Molecular_Author, Maser_VLSR, Maser_VLSR, Near, Far, Tangent, RGal, VT, KDAR, Distance, Azimuth, Z, Distance_Method, Distance_Author, Group_VLSR, Group_Distance, Group_RGal, Group_KDAR, Group_Azimuth, Group_z
G000.099-00.168, C,     0.0994619,     -0.167864,       15.8751, , ,       0.00000,       0.00000, , , , , , , , , , 17432-2855,     0.0940000,     -0.154000, 16.0, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.114-00.092, Q,      0.114731,    -0.0911218,       22.6007, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.120-00.556, K,      0.120142,     -0.555641,       360.148, S19, ,      0.110930,     -0.562300, 11.6, 2.4, 19.7, 0.3, 4.5E+7, H-alpha, 2, Leuschner, Fich  Dahl  & Treffers (1990), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.120-00.633, Q,      0.120754,     -0.632276,       93.5562, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.121-00.304, Q,      0.121840,     -0.303506,       37.0524, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.125-00.086, Q,      0.125951,    -0.0858770,       29.0075, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.129-00.674, Q,      0.129314,     -0.673040,       51.5394, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.132+00.039, Q,      0.132187,     0.0398611,       299.341, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.138-00.115, Q,      0.138611,     -0.114163,       363.078, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.158-00.065, C,      0.158940,    -0.0647087,       34.0101, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.170+00.153, C,      0.170193,      0.153132,       42.5002, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.176-00.062, Q,      0.176805,    -0.0617012,       95.7851, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.197-00.007, Q,      0.197438,   -0.00649184,       24.5183, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.199-00.512, Q,      0.199563,     -0.511958,       17.1293, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.208-00.002, C,      0.208749,   -0.00197914,       26.1352, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.227-00.502, Q,      0.227849,     -0.501873,       72.7957, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.279-00.059, Q,      0.279061,    -0.0581181,       191.287, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.279-00.482, K,      0.279081,     -0.481935,       60.0000, G000.284-00.478, ,      0.284000,     -0.478000, 20.0, , 29.0, , 6, H110, 2.5, Effelsberg, Downes et al. (1980), 17449-2855,      0.279000,     -0.484000, 18.5, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.298-01.051, Q,      0.298378,      -1.05041,       230.995, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.314-00.194, K,      0.314427,     -0.193685,       26.0139, S20, ,      0.335030,     -0.194190, 9.6, 0.5, 27.2, 0.7, 4.5E+7, H-alpha, 2, Leuschner, Fich  Dahl  & Treffers (1990), 17439-2845,      0.314000,     -0.199000, 18.7, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.314-00.205, K,      0.314673,     -0.204015,       42.5286, S20, ,      0.335030,     -0.194190, 9.6, 0.5, 27.2, 0.7, 4.5E+7, H-alpha, 2, Leuschner, Fich  Dahl  & Treffers (1990), 17439-2845,      0.314000,     -0.199000, 18.7, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.316-00.149, Q,      0.316148,     -0.148674,       37.8114, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.319-00.119, Q,      0.319469,     -0.118913,       27.3139, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.328-00.804, K,      0.328779,     -0.803120,       234.967, G000.361-00.780, G000.361-00.780,      0.361000,     -0.780000, 20.0, , 23.0, , 6, H110, 2.5, Effelsberg, Downes et al. (1980), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.331-00.065, Q,      0.331017,    -0.0643169,       42.5000, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.335-00.016, K,      0.335364,    -0.0150039,       42.5002, G000.335-00.01, ,      0.335000,    -0.0150000, 14.0, 0.3, 33.7, 0.5, 3, H87-H93, 1.3, GBT, Anderson et al. (2015b), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.346-00.028, C,      0.346541,    -0.0270089,       27.8246, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.352-00.020, Q,      0.352724,    -0.0193290,       29.5739, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.360-00.141, Q,      0.360913,     -0.140311,       20.2836, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.382+00.017, K,      0.382000,     0.0170000,       67.3940, G000.382+00.017, ,      0.382000,     0.0170000, 25.7;41.4, 0.5;2.6, 23.0;32.4, 0.9;2.3, 3, H87-H93, 1.3, GBT, Anderson et al. (2011), 17432-2835,      0.381000,     0.0170000, 84.4, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.394-00.132, Q,      0.394610,     -0.131211,       28.7730, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.397-00.091, Q,      0.397807,    -0.0908732,       22.6616, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.401+00.408, Q,      0.401795,      0.408866,       20.0779, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.408-00.881, Q,      0.408022,     -0.880904,       139.749, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.410-00.778, Q,      0.410351,     -0.777841,       137.694, , G000.361-00.780,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , 20.0,       0.00000,       0.00000, ,       0.00000,      -0.00000
G000.411-00.060, Q,      0.411335,    -0.0593902,       17.0437, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.414-00.021, Q,      0.414533,    -0.0205285,       38.4594, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.418-00.081, Q,      0.418048,    -0.0808312,       22.2572, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.421-00.555, G,      0.421420,     -0.554140,       72.8356, , G000.394-00.540,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , 24.0,       0.00000,       0.00000, ,       0.00000,      -0.00000
G000.436-00.084, Q,      0.436669,    -0.0839863,       41.2783, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.452-00.904, Q,      0.452903,     -0.903281,       51.7530, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.455-00.476, K,      0.455982,     -0.475066,       677.232, G000.394-00.540, G000.394-00.540,      0.394000,     -0.540000, 24.0, , 39.0, , 6, H110, 2.5, Effelsberg, Downes et al. (1980), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.456-00.808, Q,      0.456408,     -0.807535,       149.026, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.460-00.048, Q,      0.460896,    -0.0477070,       21.4435, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.471-00.055, Q,      0.471595,    -0.0545939,       43.3653, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.475-00.675, K,      0.475964,     -0.674149,       54.9624, G000.489-00.668, ,      0.489000,     -0.668000, 17.5, , 24.0, , 6, H110, 2.5, Effelsberg, Downes et al. (1980), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.477-00.130, Q,      0.477130,     -0.129858,       111.185, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.479+00.072, Q,      0.479800,     0.0723936,       42.5000, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.484-00.900, Q,      0.484385,     -0.899100,       27.1004, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.486+00.201, Q,      0.486943,      0.201488,       12.4396, , G000.492+00.19,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , -7.5,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.490-00.074, G,      0.490043,    -0.0739018,       42.8537, , G000.510-00.051,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , 45.0,       0.00000,       0.00000, ,       0.00000,      -0.00000
G000.492+00.191, K,      0.492402,      0.191645,       42.5000, G000.492+00.19, G000.492+00.19,      0.492000,      0.192000, -7.5, 0.1, 22.1, 0.1, 3, H87-H93, 1.3, GBT, Anderson et al. (2015b), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.496-00.828, Q,      0.496929,     -0.827033,       16.0999, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.497+00.159, C,      0.497333,      0.159427,       60.4152, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.498-00.678, K,      0.498347,     -0.677838,       54.9624, G000.489-00.668, ,      0.489000,     -0.668000, 17.5, , 24.0, , 6, H110, 2.5, Effelsberg, Downes et al. (1980), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.501+00.190, Q,      0.501283,      0.190801,       12.7326, , G000.492+00.19,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , -7.5,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.504-00.789, Q,      0.504062,     -0.788909,       35.4183, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.519+00.177, Q,      0.519275,      0.177273,       8.51127, , ,       0.00000,       0.00000, , , , , , , , , , 17430-2822,      0.527000,      0.182000, -3.8, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.519-00.051, K,      0.519970,    -0.0508173,       208.196, G000.510-00.051, G000.510-00.051,      0.510000,    -0.0510000, 45.0, , 28.0, , 6, H110, 2.5, Effelsberg, Downes et al. (1980), ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.520+00.195, Q,      0.520898,      0.195536,       16.0826, , ,       0.00000,       0.00000, , , , , , , , , , 17430-2822,      0.527000,      0.182000, -3.8, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.522-00.011, Q,      0.522773,    -0.0106701,       27.0204, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.523+00.168, Q,      0.523739,      0.168886,       9.49364, , ,       0.00000,       0.00000, , , , , , , , , , 17430-2822,      0.527000,      0.182000, -3.8, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.525+00.190, Q,      0.525092,      0.190936,       9.22176, , ,       0.00000,       0.00000, , , , , , , , , , 17430-2822,      0.527000,      0.182000, -3.8, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.528+00.180, K,      0.528170,      0.180976,       25.6720, G000.521+00.178, G000.521+00.178,      0.521000,      0.178000, -2.3, 1.1, 26.2, 4.8, 6, H85;H87;H88, 6, NRAO 140', Lockman  Pisano  & Howard (1996), 17430-2822,      0.527000,      0.182000, -3.8, CS, Bronfman  Nyman  & May (1996),       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,       0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
G000.529-00.107, Q,      0.529765,     -0.106246,       27.1552, , ,       0.00000,       0.00000, , , , , , , , , , ,       0.00000,       0.00000, , , ,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000,       0.00000, ,       0.00000,       0.00000,      -0.00000, , , ,       0.00000,       0.00000, ,       0.00000,       0.00000
